ID,Section,Title,Abstract,Byline,Item_type,Source,Published_date,Material_type_facet,Counter
33,Sports,Nervous Athletes,Nervous Athletes,NO RECORD,Slideshow,New York Times,2022-01-02,Slideshow,1
34,Briefing,"Russia-Ukraine, Omicron, N.F.L.: Your Weekend Briefing",Here’s what you need to know about the week’s top stories.,BY REMY TUMIN,Article,New York Times,2022-01-02,briefing,1
35,en Español,‘Básicamente somos guardias de centro comercial’: frustración y cuestionamientos a una misión fronteriza,El gobernador Abbott desplegó miles de efectivos de la Guardia Nacional de Texas en la frontera con México. Los soldados se quejan de las dificultades y de una labor que parece no tener rumbo.,BY J. DAVID GOODMAN,Article,New York Times,2022-01-02,News,1
36,en Español,"Los Ángeles, gloriosa capital del sushi","Pocos lugares fuera de Japón pueden igualar la variedad, la maestría y la creatividad que se sirve en las innumerables barras de sushi de la ciudad.`",BY TEJAL RAO,Article,New York Times,2022-01-02,News,1
37,U.S.,"Litter Boxes for Students Who Identify as Furries? Not So, Says School Official",A Michigan school superintendent debunked the rumor after a video from a December school board meeting resurfaced in which a speaker airs concerns about students who “identify as cats.”,BY ISABELLA GRULLÓN PAZ,Article,New York Times,2022-01-02,News,1
38,Podcasts,The Sunday Read: ‘How Disgust Explains Everything’,"Disgust is one of the primal emotions that define, and explain, humanity.","BY MOLLY YOUNG, JACK D’ISIDORO, AARON ESPOSITO, JOHN WOO AND DAN POWELL",Article,New York Times,2022-01-02,News,1
39,World,Britain Pursues More Muscular Role in Standoff With Russia on Ukraine,"With a late-night announcement about Russian meddling in Ukraine, the U.K. signaled its aim to be a player in Europe’s security crisis — even as scandals besiege Prime Minister Boris Johnson.",BY MARK LANDLER,Article,New York Times,2022-01-02,News,1
40,Sports,Olympians Face a Daunting Final Qualifying Event: Staying Healthy,"For athletes going to Beijing, years of sacrifice could go to waste if they get the coronavirus now. To avoid it, they’re hunkering down, shunning friends and skipping competitions.",BY ANDREW KEH,Article,New York Times,2022-01-02,News,1
41,World,‘Now There Is No One’: The Lament of One of the Last Christians in a Syrian City,"Michel Butros al-Jisri is among the few Christians left from a once-vibrant community in Idlib on the brink of disappearing. The city, in the only territory in Syria still controlled by rebels, is ruled by Islamists.","BY HWAIDA SAAD, ASMAA AL-OMAR AND BEN HUBBARD",Article,New York Times,2022-01-02,News,1
42,Books,How a Nostalgic Novel About Spain’s Heartland Joined the Political Fray,Ana Iris Simón wrote “Feria” to depict a way of life she fears is vanishing. She didn’t expect its message to be embraced by conservatives in her country.,BY RAPHAEL MINDER,Article,New York Times,2022-01-02,News,1
43,Arts,A Tricky First Case for the Man Who Wrote the Rules on Nazi Looted Art,"The diplomat and lawyer who helped write the treaty used around the world to guide restitution claims is representing the family of a childhood friend, which has been sued to surrender a painting.",BY GRAHAM BOWLEY,Article,New York Times,2022-01-02,News,1
44,en Español,¿Quién entregó a la familia de Ana Frank? Hay una nueva teoría. Es controversial,"Un nuevo libro identifica a un sospechoso de delatar a la familia Frank a la administración nazi. Ahora que expertos e historiadores han tenido tiempo de revisar la investigación, muchos dudan de los métodos y la conclusión.",BY NINA SIEGAL,Article,New York Times,2022-01-02,News,1
45,en Español,Cinco estupendas opciones de sushi en Los Ángeles,En la ciudad abundan los restaurantes donde se despliega estilo y destreza. Estos son algunos de los favoritos de la crítica Tejal Rao.,BY TEJAL RAO,Article,New York Times,2022-01-02,News,1
46,Business,"Documentary Critical of Disney, From the Disney Family","A harsh portrait of pay inequality at the company, premiering at Sundance on Monday, was directed by the granddaughter of one of the founders.",BY BROOKS BARNES,Article,New York Times,2022-01-02,News,1
47,Real Estate,Homes That Sold for Around $1.4 Million,Recent residential sales in New York City and the region.,BY C. J. HUGHES,Article,New York Times,2022-01-02,News,1
48,Times Insider,A Legacy Lives On in Brooklyn,"90 years after its closure, a former New York Times printing plant now provides space for a new generation of journalists.",BY SARAH DIAMOND,Article,New York Times,2022-01-02,News,1
49,Books,"Weike Wang’s Antisocial Novel, ‘Joan Is Okay’",The author of “Chemistry” returns with a wry and awkward heroine who prefers the company of machines to her fellow humans.,BY DEESHA PHILYAW,Article,New York Times,2022-01-02,Review,1
50,Sports,An Abrupt Ending for Aaron Rodgers Brings a Rush of Uncertainty,"Rodgers, though likely to win his second straight M.V.P. award, now must contemplate his future with the Green Bay Packers much sooner than he had hoped.",BY BEN SHPIGEL,Article,New York Times,2022-01-02,News,1
51,U.S.,"For Small Towns With Small Work Forces, Omicron Means Small Margins for Error","In large cities and rural towns, the Omicron variant has workers calling in sick with Covid-19. But in the small towns, it is often hard to find a Plan B.",BY JILL COWAN,Article,New York Times,2022-01-02,News,1
52,Style,Beholder of Beauty,André Leon Talley was the last great editor of a lost era.,BY VANESSA FRIEDMAN,Article,New York Times,2022-01-02,News,1
53,U.S.,"For Many Who Marched, Jan. 6 Was Only the Beginning","To many of those who attended the Trump rally but who never breached the Capitol, that date wasn’t a dark day for the nation. It was a new start.",BY ELIZABETH DIAS AND JACK HEALY,Article,New York Times,2022-01-02,News,1
54,Style,André Leon Talley in His Own Words,"“We’re living in such a vulgar age!,” the unfiltered fashion editor once said.",BY JESSICA TESTA,Article,New York Times,2022-01-02,News,1
55,New York,‘I Asked a Woman on the Platform if She Had Any Tissues’,"Helping hands in the subway, a tug of war on the Upper East Side and more reader tales of New York City in this week’s Metropolitan Diary.",NO RECORD,Article,New York Times,2022-01-02,News,1
56,Style,"André, by Bill","Two of fashion’s greats, André Leon Talley and Bill Cunningham, were wonderful foils for each other.",BY JACOB BERNSTEIN,Article,New York Times,2022-01-02,News,1
57,Crosswords & Games,Spelling Bee Forum,Feeling stuck on today’s puzzle? We can help.,BY ISAAC ARONOW AND DOUG MENNELLA,Article,New York Times,2022-01-02,News,1
58,Arts,"On ‘S.N.L.,’ Donald Trump Tries His Hand at Wordle","Colin Jost and Pete Davidson provided an update on their purchase of a retired Staten Island Ferry boat, in this episode hosted by Will Forte.",BY DAVE ITZKOFF,Article,New York Times,2022-01-02,News,1
59,Opinion,The Bat Mitzvah Question I Wasn’t Expecting: ‘Are We Safe at Synagogue?’,"Finding hope in the darkness of cancer, Covid and Colleyville.",BY SARAH WILDMAN,Article,New York Times,2022-01-02,Op-Ed,1
60,U.S.,"As New York reports glimmers of hope, states in the West are under pressure.",NO RECORD,BY ESHA RAY,Article,New York Times,2022-01-02,Live Blog Post,1
61,Today’s Paper,Quotation of the Day: Did the Stimulus Fuel Inflation Rates? A Policy Debate Heats Up.,"Quotation of the Day for Sunday, January 23, 2022.",NO RECORD,Article,New York Times,2022-01-02,Quote,1
62,Corrections,"Corrections: Jan. 23, 2022","Corrections that appeared in print on Sunday, Jan. 23, 2022.",NO RECORD,Article,New York Times,2022-01-02,News,1
63,Sports,Two upsets of No. 1 seeds. Two last-play field goals. Lots of wild defensive plays.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
64,Sports,The 49ers complete their upset after the Packers’ special teams flubs.,San Francisco will move on to play either the Los Angeles Rams or the Tampa Bay Buccaneers in the N.F.C. championship game.,BY BEN SHPIGEL,Article,New York Times,2022-01-02,News,1
65,Sports,A blocked punt immediately gets the 49ers back to even.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
66,Sports,The Packers may not want to rely on special teams to decide the game.,NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
67,World,"With Omicron circulating, New Zealand imposes its toughest restrictions.",NO RECORD,BY NATASHA FROST,Article,New York Times,2022-01-02,Live Blog Post,1
68,Sports,"The 49ers miss a big opportunity before halftime, then block a field goal attempt.",NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
69,Sports,The 49ers have -7 yards after a quarter. But they’re only down 7 points.,NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
70,Sports,Green Bay gets an efficient touchdown to start the scoring.,NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
71,Sports,Deebo Samuel flourishes in his “wide back” role.,NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
72,World,Rio and São Paulo are postponing their Carnival parades amid an Omicron surge.,NO RECORD,BY ESHA RAY,Article,New York Times,2022-01-02,Live Blog Post,1
73,World,‘Miserable and Dangerous’: A Failed Chinese Promise in Serbia,Poor conditions for Vietnamese workers building a $900 million tire factory underscore a chasm between the promise of investment from China and grim realities on the ground.,BY ANDREW HIGGINS,Article,New York Times,2022-01-02,News,1
74,Sports,Aaron Rodgers knows that his playoff record shapes his N.F.L. legacy.,NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
75,Sports,"Garoppolo, 49ers could struggle with Lambeau Field’s cold.",NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
76,Sports,Bengals overcome sacks and seeding to shock No. 1 Titans on the final play.,"The Bengals kicked a field goal on the last play to beat Tennessee, 19-16, in a game that was mostly dominated by each defense.",BY KEN BELSON,Article,New York Times,2022-01-02,News,1
77,Sports,"A Titans interception and A.J. Brown’s touchdown catch tie the game, 16-16.",NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
78,Sports,Tannehill’s second interception stalls the Titans’ momentum.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
79,World,A Virginia school district is adding security after a parent was charged with making a threat over mask mandates.,NO RECORD,BY VIMAL PATEL,Article,New York Times,2022-01-02,Live Blog Post,1
80,Sports,The Bengals start the third quarter with a strong drive and a touchdown.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
81,U.S.,Wildfire Forces Hundreds to Evacuate in Big Sur,"The blaze grew to 1,000 acres, and at least 500 residents in California’s Big Sur area were ordered to evacuate.",BY STORYFUL,Video,New York Times,2022-01-02,Video,1
82,World,Covid Outbreak Triggers Lockdown in Hong Kong Housing Complex,"Multiple apartment buildings were locked down and 37,000 people were ordered to undergo testing after more than 100 new cases of the Omicron variant were reported in the complex.",BY AXEL BOADA AND NAILAH MORGAN,Video,New York Times,2022-01-02,Video,1
83,Sports,"The Bengals lead, 9-6, at halftime.",NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
84,Crosswords & Games,Turns of Phrase,"Nancy Stark and Will Nediger put the cart before the horse, but we’ll get where we’re going.",BY CAITLIN LOVINGER,Article,New York Times,2022-01-02,News,1
85,U.S.,"Passenger Exposed Buttocks and Threw a Can During Flight, Prosecutors Say","A 29-year-old man from Galway, Ireland, was charged after his disruptive behavior aboard a flight from Dublin to John F. Kennedy International Airport on Jan. 7.",BY MICHAEL LEVENSON,Article,New York Times,2022-01-02,News,1
86,Sports,"Derrick Henry, out of the wildcat, gets a TD.",NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
87,Sports,Burrow and Tannehill’s sack woes have continued.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
88,World,Britain Says Moscow Is Plotting to Install a Pro-Russian Leader in Ukraine,"In a highly unusual public statement, backed by U.S. officials, London named the putative head of a potential puppet government but few other details.","BY MICHAEL SCHWIRTZ, DAVID E. SANGER AND MARK LANDLER",Article,New York Times,2022-01-02,News,1
89,Sports,"Nick Bosa, who missed time last week with a concussion, will play for the 49ers.",Bosa is one of the 49ers’ biggest stars.,BY BEN SHPIGEL,Article,New York Times,2022-01-02,News,1
90,Sports,The Bengals get an early lead after an interception.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
91,Sports,The Titans’ standout edge rushers are having a big day.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
92,Climate,"Lisa Goddard, 55, Dies; Brought Climate Data to Those Who Needed It","She helped show government agencies around the world how to predict upcoming droughts, flooding and other extreme weather events.",BY CLAY RISEN,Article,New York Times,2022-01-02,Obituary (Obit),1
93,Sports,The N.F.L. drops coronavirus testing requirements for unvaccinated players.,The change means all players — vaccinated or not — will mainly be tested if they show symptoms of Covid-19.,BY KEN BELSON,Article,New York Times,2022-01-02,News,1
94,U.S.,Arizona Democrats Censure Sinema After Filibuster Vote,"Kyrsten Sinema, a first-term Arizona senator, was rebuked by fellow Democrats in her state after her vote on the filibuster helped sink the party’s voting-rights legislation.",BY JACK HEALY,Article,New York Times,2022-01-02,News,1
95,U.S.,Wildfire in Big Sur Forces Residents to Evacuate,"A late-season blaze that started on Friday grew to 1,000 acres in the scenic region of California.",BY SOPHIE KASAKOVE,Article,New York Times,2022-01-02,News,1
96,Sports,The Bengals’ passing overshadowed Joe Mixon’s career year.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
97,New York,How a Calm Call for Help Led 2 N.Y.P.D. Officers Into a Hail of Gunfire,The latest deadly episode to rattle the city began with a routine domestic disturbance call and ended with one officer dead and another in critical condition.,BY MICHAEL WILSON,Article,New York Times,2022-01-02,News,1
98,Opinion,How to Retreat From Ukraine,Searching for a non-disastrous way back from American overreach.,BY ROSS DOUTHAT,Article,New York Times,2022-01-02,Op-Ed,1
99,Sports,The Titans have rarely been at full strength this season.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
100,Business,Kohl’s Receives $9 Billion Offer Backed by Activist Investor,"The offer comes as the retailer, like other brick-and-mortar stores, struggles with supply chain problems and competition from online sites.",BY LAUREN HIRSCH,Article,New York Times,2022-01-02,News,1
101,Sports,Burrow-to-Chase isn't the Bengals’ only play.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
102,Sports,Derrick Henry’s return could make all the difference for the Titans.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
103,Arts,How Meat Loaf Made a Cult Favorite: ‘Paradise by the Dashboard Light’,"The eight-and-a-half minute tale of sexual awakening features drums by the E Street Band’s Max Weinberg and vocals from Ellen Foley, who help recount how the unlikely song came together.",BY JEREMY GORDON,Article,New York Times,2022-01-02,News,1
104,U.S.,Unusual Ice and Snow Storm Hits the Carolinas and Virginia,A Delta flight skidded on a runway and roads remained dangerous on Saturday as the storm brought eight inches of snow to some places.,BY EDUARDO MEDINA,Article,New York Times,2022-01-02,News,1
105,Business,Rapid Inflation Fuels Debate Over What’s to Blame: Pandemic or Policy,The White House is emphasizing that inflation is worldwide. Economists say that’s true — but stimulus-spurred consumer buying is also to blame.,BY JEANNA SMIALEK AND ANA SWANSON,Article,New York Times,2022-01-02,News,1
106,World,The Olympic torch relay shrinks to ‘prioritize safety.’,"The relay, usually global and lasting for months, will take place over just three days, be mostly local, and only select members of the public will be able to attend.",BY ADEEL HASSAN,Article,New York Times,2022-01-02,News,1
107,World,Here's what we know about Omicron and how it differs from other variants.,NO RECORD,BY EMILY ANTHES AND JONATHAN CORUM,Article,New York Times,2022-01-02,Live Blog Post,1
108,World,Why Boris Johnson May Finally Have Gone Too Far,"Moral hypocrisy, such as lying about parties held during Britain’s lockdown, is the ultimate sin in human society, with a special power to enrage.",BY MAX FISHER,Article,New York Times,2022-01-02,News,1
109,World,‘Why Was I Born a Girl?’ An Afghan Poem Inspires U.S. Students,A Zoom connection between high schoolers in Afghanistan and San Diego opens a window for mutual support.,BY DAVID ZUCCHINO AND JIM HUYLEBROEK,Article,New York Times,2022-01-02,News,1
110,World,Omicron reaches some of the most isolated places on Earth: The week in coronavirus news.,NO RECORD,BY ANDRÉS R. MARTÍNEZ,Article,New York Times,2022-01-02,Live Blog Post,1
111,Opinion,Tough Decisions About End-of-Life Care,Readers offer personal stories in response to a doctor’s guest essay about advance directives.,NO RECORD,Article,New York Times,2022-01-02,Letter,1
112,Opinion,The Systemic Realities Created by Legal Abortion,Thoughts on the 49th anniversary of Roe v. Wade.,BY TISH HARRISON WARREN,Article,New York Times,2022-01-02,Op-Ed,1
113,World,Hong Kong tests tens of thousands of people after an outbreak at a vast housing complex.,NO RECORD,BY AUSTIN RAMZY,Article,New York Times,2022-01-02,Live Blog Post,1
114,Opinion,President Biden’s Economy Is Failing the Big Mac Test,"The administration made a lot of the right economic moves in its first year, but high inflation is reason enough to postpone any celebrations.",BY THE EDITORIAL BOARD,Article,New York Times,2022-01-02,Editorial,1
115,Opinion,Let’s Talk About How the N.F.L. Is Failing (While the N.B.A. Reaches New Heights),The football league is down to just one Black head coach.,BY JANE COASTON,Article,New York Times,2022-01-02,Op-Ed,1
116,Opinion,Joe Manchin Thinks James Madison Is on His Side. Nope.,Arguments about the filibuster need the right context.,BY JAMELLE BOUIE,Article,New York Times,2022-01-02,Op-Ed,1
117,World,A shortened ‘Long Day’s Journey Into Night’ for the Covid era.,NO RECORD,BY JUAN A. RAMÍREZ,Article,New York Times,2022-01-02,Live Blog Post,1
118,Sports,"Down Under, a Tennis Star Cheers for Her Family’s Buffalo Bills","When Buffalo plays Kansas City in their N.F.L. divisional playoff game, Jessica Pegula, whose parents own the Bills, hopes both she and the football team keep winning.",BY CHRISTOPHER CLAREY,Article,New York Times,2022-01-02,News,1
119,Sports,N.F.L. Receivers Are Showcasing a Throwback Skill: Blocking,The run-pass option and screen-based offenses currently in favor in the N.F.L. rely on receivers who can throw blocks for their teammates.,BY EMMANUEL MORGAN,Article,New York Times,2022-01-02,News,1
120,World,"U.S. Covid deaths continue to rise, though Omicron cases appear to peak.",NO RECORD,"BY MITCH SMITH, JULIE BOSMAN AND TRACEY TULLY",Article,New York Times,2022-01-02,Live Blog Post,1
121,Opinion,"Farewell, André the Glorious","He liked dressing in caftans and fur, and dressing me down about my style.",BY MAUREEN DOWD,Article,New York Times,2022-01-02,Op-Ed,1
122,Business,"Harvey G. Stack, Leading Dealer in Rare Coins, Dies at 93","At the New York firm his father and uncle started in 1933, he was said to have personally conducted more auction sales than anyone else in the industry.",BY SAM ROBERTS,Article,New York Times,2022-01-02,Obituary (Obit),1
123,Real Estate,The Noise From Downstairs Is Terrible. Should I Sue the Landlord?,"You have a right to the quiet enjoyment of your home, but lawsuits come with their own headaches. And there’s always room for negotiation.",BY RONDA KAYSEN,Article,New York Times,2022-01-02,News,1
124,World,China is staging the Winter Olympics on its own terms.,NO RECORD,"BY STEVEN LEE MYERS, KEITH BRADSHER AND TARIQ PANJA",Article,New York Times,2022-01-02,News,1
125,U.S.,Tennessee Couple Says Adoption Agency Turned Them Away for Being Jewish,Elizabeth and Gabriel Rutan-Ram are plaintiffs in a lawsuit claiming that state funding of a child-placing agency that discriminates based on religion is unconstitutional.,BY CHRISTINE HAUSER,Article,New York Times,2022-01-02,News,1
126,World,Stocks are off to their worst start of a year since 2016.,NO RECORD,BY JEFF SOMMER,Article,New York Times,2022-01-02,Live Blog Post,1
127,World,The self-made Covid expert: Amateur scientists are popping up.,NO RECORD,BY ALYSON KRUEGER,Article,New York Times,2022-01-02,Live Blog Post,1
128,en Español,Tuvimos un divorcio amable y seguimos viviendo en la misma casa,Cuando el final de un matrimonio significa vivir en pisos separados de la misma residencia.,BY JORDANA JACOBS,Article,New York Times,2022-01-02,News,1
129,World,"English Island Seeks a Landlord-King Who Likes Solitude, Seals and Beer","On Piel Island, winters are wet, travel is limited, and the solitary pub crowns the landlord king or queen under a shower of beer.",BY ALAN YUHAS,Article,New York Times,2022-01-02,News,1
130,Business,What Happened (and Didn’t) When Davos Disappeared,"For the second year in a row, the World Economic Forum’s annual in-person meeting was delayed because of the pandemic. Did anyone miss it?",BY DAVID GELLES,Article,New York Times,2022-01-02,News,1
131,en Español,"Defender Chernóbil en una invasión no vale la pena, dicen algunos ucranianos","Ucrania ha iniciado una estrategia defensiva para la Zona de Exclusión de Chernóbil, uno de los lugares más radiactivos de la Tierra, que se encuentra en el camino más corto entre Rusia y la capital de Ucrania, Kiev.",BY ANDREW E. KRAMER AND TYLER HICKS,Article,New York Times,2022-01-02,News,1
132,World,When Drake Is on Your Course Syllabus,The hip-hop star’s influence on Toronto has been enormous and now includes a Ryerson University course deconstructing him.,BY VJOSA ISAI,Article,New York Times,2022-01-02,News,1
133,World,"Thich Nhat Hanh on Life, War and Happiness","“People talk about entering nirvana, but we are already there,” said the Buddhist monk, who died on Saturday. Here is a short selection of his remarks.",BY SETH MYDANS,Article,New York Times,2022-01-02,News,1
134,Science,Charting an Omicron Infection,Following the course of a typical Omicron infection.,BY EMILY ANTHES AND JONATHAN CORUM,Interactive,New York Times,2022-01-02,Interactive Feature,1
135,World,China’s Games: How Xi Jinping Is Staging the Olympics on His Terms,"From Beijing’s unexpected bid through the coronavirus pandemic, China has managed to fulfill its promises and cow its critics.","BY STEVEN LEE MYERS, KEITH BRADSHER AND TARIQ PANJA",Article,New York Times,2022-01-02,News,1
